"","type","pct","crime","crimes_count"
"156","misdemeanor_offenses","17","OFFENSES AGAINST THE PERSON (7)      ",2
"157","misdemeanor_offenses","17","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",32
"158","misdemeanor_offenses","17","ADMINISTRATIVE CODE (6)            ",3
"159","misdemeanor_offenses","17","FRAUDS (3)                    ",53
"160","misdemeanor_offenses","17","AGGRAVATED HARASSMENT 2               ",99
"161","misdemeanor_offenses","17","OTHER MISDEMEANORS (8)",214
"163","misdemeanor_offenses","18","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",26
"164","misdemeanor_offenses","18","MISDEMEANOR SEX CRIMES (4)",72
"165","misdemeanor_offenses","18","MISDEMEANOR DANGEROUS DRUGS  (1)",389
"166","misdemeanor_offenses","18","MISDEMEANOR DANGEROUS WEAPONS (5)               ",19
"167","misdemeanor_offenses","18","PETIT LARCENY                         ",1961
"168","misdemeanor_offenses","18","ASSAULT 3 AND RELATED OFFENSES        ",600
"169","misdemeanor_offenses","18","INTOXICATED & IMPAIRED DRIVING              ",28
"170","misdemeanor_offenses","18","VEHICLE AND TRAFFIC LAWS              ",93
"171","misdemeanor_offenses","18","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",249
"172","misdemeanor_offenses","18","CRIMINAL TRESPASS",161
"173","misdemeanor_offenses","18","UNAUTHORIZED USE OF A VEHICLE           ",9
"174","misdemeanor_offenses","18","OFFENSES AGAINST THE PERSON (7)      ",25
"175","misdemeanor_offenses","18","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",127
"176","misdemeanor_offenses","18","ADMINISTRATIVE CODE (6)            ",2
"177","misdemeanor_offenses","18","FRAUDS (3)                    ",103
"178","misdemeanor_offenses","18","AGGRAVATED HARASSMENT 2               ",265
"179","misdemeanor_offenses","18","OTHER MISDEMEANORS (8)",762
"181","misdemeanor_offenses","19","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",20
"182","misdemeanor_offenses","19","MISDEMEANOR SEX CRIMES (4)",64
"183","misdemeanor_offenses","19","MISDEMEANOR DANGEROUS DRUGS  (1)",31
"184","misdemeanor_offenses","19","MISDEMEANOR DANGEROUS WEAPONS (5)               ",16
"185","misdemeanor_offenses","19","PETIT LARCENY                         ",1586
"186","misdemeanor_offenses","19","ASSAULT 3 AND RELATED OFFENSES        ",295
"187","misdemeanor_offenses","19","INTOXICATED & IMPAIRED DRIVING              ",107
"188","misdemeanor_offenses","19","VEHICLE AND TRAFFIC LAWS              ",59
"189","misdemeanor_offenses","19","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",348
"190","misdemeanor_offenses","19","CRIMINAL TRESPASS",46
"191","misdemeanor_offenses","19","UNAUTHORIZED USE OF A VEHICLE           ",6
"192","misdemeanor_offenses","19","OFFENSES AGAINST THE PERSON (7)      ",8
"193","misdemeanor_offenses","19","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",63
"194","misdemeanor_offenses","19","ADMINISTRATIVE CODE (6)            ",6
"195","misdemeanor_offenses","19","FRAUDS (3)                    ",59
"196","misdemeanor_offenses","19","AGGRAVATED HARASSMENT 2               ",182
