"","xcoord","ycoord","pforce"
"1042",1021667,251422,2
"1043",1022709,251466,1
"1046",1012171,251565,1
"1047",1011927,251675,1
"1048",1026694,251676,2
"1049",1011264,251679,2
"1051",1011653,251798,1
"1057",1019941,251968,1
"1059",1010273,252117,2
"1063",1012643,252165,1
"1064",1010939,252250,1
"1065",1010639,252289,1
"1076",1021695,252485,1
"1077",1022491,252500,1
"1081",1012783,252612,1
"1082",1013514,252646,4
"1084",1023309,252693,1
"1088",1013900,252723,1
"1089",1012830,252768,3
"1090",1013968,252807,2
"1091",1011207,252824,2
"1092",1011787,252854,1
"1095",1010905,252967,1
"1100",1021095,253114,1
"1103",1014295,253237,2
"1104",1014187,253299,1
"1105",1013641,253380,1
"1109",1014316,253469,1
"1110",1011202,253486,1
"1113",1010992,253610,1
"1114",1012311,253724,2
"1115",1023511,253739,4
"1116",1014828,253744,1
"1117",1012238,253772,1
"1118",1021201,253791,1
"1121",1014631,253884,1
"1123",1028024,253925,1
"1125",1020086,253942,2
"1127",1033546,253977,1
"1134",1014313,254123,2
"1137",1013989,254388,1
"1141",1033522,254480,1
"1144",1027298,254542,3
"1145",1026777,254554,1
"1146",1009562,254560,1
"1151",1020937,254605,1
"1153",1021739,254628,1
"1158",1026517,254724,1
"1166",1013465,254827,1
"1168",1020088,254847,1
"1169",1021488,254898,1
"1170",1015129,254924,1
"1171",1022004,254964,1
"1179",1022731,255047,1
"1180",1022761,255080,2
"1186",1020949,255191,1
"1188",1015853,255202,1
"1190",1020423,255276,1
"1204",1022019,255478,1
"1206",1013845,255488,3
"1209",1014934,255507,1
"1211",1020679,255508,1
"1215",1020070,255522,1
"1224",1013301,255804,1
"1228",1020964,255891,2
"1230",1016781,255955,1
"1231",1032798,255966,1
"1234",1031599,256023,1
"1239",1024974,256073,2
"1241",1023632,256105,1
"1243",1013560,256165,1
"1246",1024466,256225,1
"1247",1024460,256247,1
"1249",1027071,256249,1
"1251",1013945,256276,1
"1252",1025748,256288,2
"1255",1011740,256343,1
"1256",1015459,256345,1
"1257",1029573,256473,1
"1260",1014225,256575,1
"1263",1018316,256674,3
"1264",1024640,256710,3
"1273",1026280,256783,1
"1276",1021309,256791,1
"1277",1020048,256819,1
"1278",1011283,257004,1
"1281",1025592,257115,1
"1283",1017085,257207,1
"1284",1010613,257211,1
"1289",1029431,257556,2
"1291",1017650,257603,1
"1293",1022178,257672,1
"1295",1024965,257717,2
"1296",1015558,257727,1
"1297",1017634,257744,1
"1298",1025137,257892,1
"1301",1027084,257998,1
"1302",1029792,258031,1
"1303",1015334,258069,1
"1304",1009366,258080,1
"1305",1021418,258099,2
"1306",1021324,258111,1
"1307",1021019,258157,1
"1308",1020811,258203,2
"1309",1020419,258211,1
"1319",1017669,258649,1
"1323",1017510,258766,2
"1325",1025255,258770,3
"1329",1029009,258817,1
"1332",1031792,258969,1
"1333",1025246,258998,2
"1334",1021743,259013,1
"1336",1023166,259089,2
"1337",1025477,259153,1
"1341",1027301,259296,1
"1344",1025348,259365,1
"1346",1021380,259391,1
"1348",1024880,259406,1
"1349",1025880,259416,1
"1351",1012010,259448,1
"1355",1010580,259508,1
"1358",1027599,259600,1
"1359",1022527,259623,1
"1360",1026683,259645,1
"1361",1032524,259709,2
"1362",1021973,259718,1
"1363",1012052,259739,1
"1364",1017713,259756,5
"1366",1025086,259804,1
