"","pct","xcoord","ycoord","pforce"
"110",40,1006043,235317,1
"111",40,1006054,235318,6
"112",40,1007405,235318,1
"113",40,1004712,235320,0
"114",41,1011169,235321,0
"115",40,1003813,235345,0
"116",40,1005225,235349,1
"117",41,1015283,235352,0
"118",41,1015275,235363,0
"119",41,1015281,235364,3
"120",40,1009360,235365,0
"121",40,1005266,235370,1
"122",40,1005928,235380,0
"123",41,1012174,235380,0
"124",40,1005889,235408,1
"125",40,1005870,235411,3
"126",40,1009926,235436,1
"127",40,1007561,235440,1
"128",43,1023791,235443,2
"129",41,1015264,235447,0
"130",40,1005373,235449,3
"131",41,1011532,235453,1
"132",40,1009847,235460,0
"133",40,1008135,235470,0
"134",40,1009673,235504,0
"135",40,1009545,235536,1
"136",40,1006190,235546,0
"137",41,1012361,235556,0
"138",40,1004847,235563,2
"139",40,1009419,235573,2
"140",40,1010511,235588,1
"141",40,1005599,235599,0
"142",41,1011917,235599,1
"143",40,1009105,235656,1
"144",41,1011209,235665,0
"145",41,1012113,235669,0
"146",40,1007039,235672,1
"147",40,1005927,235693,1
"148",40,1010543,235693,0
"149",40,1005526,235713,2
"150",40,1005525,235726,2
"151",40,1004943,235736,0
"152",40,1005817,235751,0
"153",40,1005852,235778,2
"154",41,1013693,235796,0
"155",40,1005479,235802,0
"156",40,1008661,235809,1
"157",40,1005465,235813,0
"158",41,1012062,235816,0
"159",41,1014652,235837,0
"160",40,1007237,235855,2
"161",40,1005429,235873,0
"162",40,1007180,235883,1
"163",41,1014904,235891,1
"164",41,1015972,235899,1
"165",40,1005039,235908,0
"166",40,1005414,235909,2
"167",40,1006059,235912,0
"168",40,1008958,235918,3
"169",41,1012375,235939,1
"170",41,1015162,235941,0
"171",40,1007684,235949,1
"172",40,1008345,235949,10
"173",40,1005380,235954,0
"174",41,1012006,235961,2
"175",40,1008261,235983,2
"176",40,1005080,235987,1
"177",40,1008214,236003,2
"178",41,1013848,236017,0
"179",41,1012802,236024,0
"180",40,1005969,236034,2
"181",40,1006901,236034,0
"182",41,1011316,236034,0
"183",45,1033253,236037,0
"184",41,1015672,236043,2
"185",43,1021253,236044,1
"186",40,1005124,236060,2
"187",40,1005321,236062,1
"188",40,1008085,236066,1
"189",40,1006298,236078,1
"190",40,1007352,236095,0
"191",41,1011491,236096,0
"192",40,1005922,236101,2
"193",41,1012143,236104,2
"194",40,1007980,236112,2
"195",41,1011549,236117,0
"196",41,1015659,236127,0
"197",40,1006742,236129,1
"198",41,1015651,236135,1
"199",40,1005275,236138,1
"200",40,1007246,236142,1
"201",41,1011927,236162,1
"202",41,1011656,236164,1
"203",40,1003943,236168,0
"204",40,1008446,236174,1
"205",40,1008448,236188,2
"206",41,1012582,236196,0
"207",41,1011757,236201,0
"208",40,1009308,236215,3
"209",41,1013587,236221,2
"210",40,1005215,236231,0
"211",40,1005827,236235,9
"212",40,1010146,236240,2
"213",40,1006542,236241,0
"214",40,1010970,236246,5
"215",40,1009603,236248,1
"216",41,1011897,236250,1
"217",40,1006118,236258,0
"218",40,1008159,236283,2
"219",40,1005789,236294,0
"220",41,1015360,236298,1
"221",41,1012662,236303,0
"222",40,1010705,236317,3
"223",41,1013469,236318,1
"224",41,1011208,236324,1
"225",41,1015345,236344,3
"226",41,1015612,236356,1
"227",40,1010533,236370,15
"228",41,1012354,236375,1
"229",41,1012720,236376,2
"230",40,1010456,236389,0
"231",40,1006777,236405,0
"232",41,1011840,236412,0
"233",40,1005956,236414,1
"234",40,1010322,236422,0
"235",40,1005331,236446,0
"236",43,1021486,236447,1
"237",45,1033362,236468,3
"238",40,1007288,236469,2
"239",40,1005347,236477,0
"240",40,1007923,236489,1
"241",40,1007237,236500,1
"242",40,1007224,236508,0
"243",40,1006433,236529,0
"244",41,1013195,236529,1
"245",40,1004819,236531,1
"246",41,1012149,236535,2
"247",41,1011790,236539,0
"248",40,1009898,236541,6
"249",40,1009404,236559,1
"250",41,1014230,236561,0
"251",40,1008881,236572,1
"252",40,1009731,236580,0
"253",40,1009519,236589,3
"254",40,1009693,236593,0
"255",40,1007034,236608,3
"256",43,1024768,236634,1
"257",40,1006959,236636,0
"258",43,1023867,236637,0
"259",41,1012560,236642,0
"260",41,1013481,236644,0
"261",40,1007992,236655,0
"262",40,1009649,236655,6
"263",41,1011999,236656,0
"264",40,1006896,236657,5
"265",41,1013906,236686,3
"266",40,1009702,236693,2
"267",41,1011944,236695,2
"268",41,1011727,236698,0
"269",40,1011097,236699,1
"270",41,1011097,236699,0
"271",41,1014198,236718,1
"272",43,1020885,236728,0
"273",40,1006659,236730,1
"274",40,1010513,236730,3
"275",41,1014351,236733,0
"276",43,1020951,236734,1
"277",45,1029379,236734,1
"278",43,1020983,236740,1
"279",41,1011316,236747,0
"280",40,1009776,236758,5
"281",43,1021113,236763,0
"282",43,1021112,236769,1
"283",40,1004119,236771,1
"284",41,1014736,236773,0
"285",40,1006520,236780,1
"286",40,1007290,236782,0
"287",41,1015784,236790,2
"288",41,1014956,236797,1
"289",41,1015024,236801,0
"290",45,1033218,236805,0
"291",41,1012361,236812,1
"292",40,1005538,236831,1
"293",41,1011674,236847,0
"294",40,1007097,236856,14
"295",41,1011730,236862,1
"296",43,1026065,236863,0
"297",45,1033190,236863,2
"298",40,1008715,236871,1
"299",41,1015505,236876,3
"300",40,1009935,236881,3
"301",41,1015222,236887,2
"302",40,1006150,236909,1
"303",41,1015721,236922,3
"304",41,1015760,236927,2
"305",43,1026406,236930,2
"306",41,1011173,236934,4
"307",40,1007431,236936,0
"308",41,1015862,236951,2
"309",41,1015192,236953,1
"310",40,1009312,236971,0
"311",41,1016015,236979,2
"312",43,1026699,236982,2
"313",43,1025571,236989,0
"314",41,1014135,236990,1
"315",40,1011185,236992,0
"316",41,1012582,237004,1
"317",43,1021385,237016,1
"318",40,1010531,237018,4
"319",41,1013226,237021,0
"320",41,1014852,237030,0
"321",41,1012542,237039,0
"322",41,1012884,237047,0
"323",41,1013599,237048,0
"324",40,1010146,237049,3
"325",40,1007171,237062,0
"326",40,1010528,237067,3
"327",41,1015139,237068,0
"328",40,1008779,237080,1
"329",40,1005630,237083,4
"330",43,1027295,237085,0
"331",45,1033677,237089,2
"332",41,1015099,237169,0
"333",41,1012654,237176,0
"334",40,1010322,237186,1
"335",41,1012339,237198,1
"336",41,1015701,237209,0
"337",40,1005243,237211,1
"338",40,1005251,237214,1
"339",41,1015069,237227,1
"340",40,1010647,237238,0
"341",41,1013413,237253,1
"342",41,1015191,237255,0
"343",40,1009408,237258,2
"344",41,1013777,237270,1
"345",41,1015297,237270,1
"346",41,1013490,237351,1
"347",41,1014420,237363,1
"348",40,1010102,237402,1
"349",40,1007207,237413,1
"350",41,1013101,237415,0
"351",41,1015921,237431,1
"352",40,1009957,237442,2
"353",43,1026355,237456,1
"354",40,1006994,237486,1
"355",43,1026355,237490,2
"356",40,1006977,237492,1
"357",40,1006767,237505,1
"358",40,1009763,237506,1
"359",41,1011955,237507,0
