type,PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
misdemeanor_offenses,14,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,40,38,39,35,26,19,31,29,35,37,44,34,37,59,48,25
misdemeanor_offenses,14,MISDEMEANOR SEX CRIMES (4),159,169,141,103,141,122,191,174,226,198,196,161,125,155,133,186
misdemeanor_offenses,14,MISDEMEANOR DANGEROUS DRUGS  (1),1678,1218,1829,927,637,481,739,668,421,512,629,743,857,765,726,571
misdemeanor_offenses,14,MISDEMEANOR DANGEROUS WEAPONS (5)               ,76,92,93,85,97,62,114,138,143,163,185,127,166,192,170,112
misdemeanor_offenses,14,PETIT LARCENY                         ,5140,4892,4742,4192,4212,4051,4231,4446,4434,4859,4849,4717,4224,4551,4070,3842
misdemeanor_offenses,14,ASSAULT 3 AND RELATED OFFENSES        ,824,827,719,621,671,681,685,704,619,594,668,586,674,651,660,627
misdemeanor_offenses,14,INTOXICATED & IMPAIRED DRIVING              ,45,45,42,46,50,66,88,112,104,103,108,90,109,61,54,41
misdemeanor_offenses,14,VEHICLE AND TRAFFIC LAWS              ,135,120,98,73,103,85,82,70,74,74,62,70,68,54,94,77
misdemeanor_offenses,14,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,458,420,344,405,287,271,299,325,232,288,288,256,219,201,234,218
misdemeanor_offenses,14,CRIMINAL TRESPASS,151,113,232,390,256,150,162,299,435,566,420,361,351,340,349,212
misdemeanor_offenses,14,UNAUTHORIZED USE OF A VEHICLE           ,27,28,18,9,9,6,4,5,4,3,5,4,8,6,9,4
misdemeanor_offenses,14,OFFENSES AGAINST THE PERSON (7)      ,29,17,25,9,13,19,25,19,24,20,27,16,16,17,23,10
misdemeanor_offenses,14,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),290,276,240,263,237,213,237,275,237,257,216,152,204,218,203,186
